:displayName English

'1 Pi Capitaalo planet, want exotics.prefab
'name2	'((Inhabited planet))	'((Inhabited planet))	25		'383958601:dlc2/1 Pi Capitaalo planet, want exotics.prefab; 180401831:dlc2/2 Pi Phobian planet 2, wasteland.prefab; 310536612:dlc2/1 Pi Capitaalo planet, want synth.prefab; 416434856:dlc2/1 Pi Capitaalo planet, want organics.prefab; 685940565:dlc2/2 Pi Phobian planet 1, want credits.prefab; 1615424338:dlc2/1 Pi Capitaalo planet, want explosives.prefab; 1852234114:dlc2/1 Pi Capitaalo planet, want organics 2.prefab; 1930524378:dlc2/2 Pi Phobian planet 3, give weapon.prefab
'Level 6b, squids, slavers, pirates.prefab
'displayName	'Fresh Squid territory (DLC)	'Fresh Squid territory (DLC)	25		'1065510511:dlc2/Level 6b, squids, slavers, pirates.prefab

'Level 7b, shopping.prefab
'displayName	'The Shopping District (DLC)	'The Shopping District (DLC)	25		'508754655:dlc2/Level 7b, shopping.prefab

'Level 9b, marble, squid, shokar.prefab
'displayName	'The Hideout Hunt (DLC)	'The Hideout Hunt (DLC)	25		'1703003314:dlc2/Level 9b, marble, squid, shokar.prefab

'undeveloped nuke launcher slot for warpshell.prefab

'EMP perm projectile.prefab

'weapon EMP perm DLC.prefab
'displayName	'Oscillaati Sunthrower	'Oscillaati Sunthrower	40		'1934368951:dlc2/weapon EMP perm DLC.prefab
'description	'This powerful built-in energy weapon creates a homing ball of warp plasma that can disable large parts of enemy ships with a single shot.	'This powerful built-in energy weapon creates a homing ball of warp plasma that can disable large parts of enemy ships with a single shot.	200		'1934368951:dlc2/weapon EMP perm DLC.prefab

'The Exception.prefab
'description	'This mysterious alien craft was excavated from a deep ravine on Mars. Its asymmetric hull contains an enormous energy weapon and other advanced systems, including an exotic garden of crystal life. Some missing or broken modules were replaced with temporary DIY tech, but many improvements are still needed.	'This mysterious alien craft was excavated from a deep ravine on Mars. Its asymmetric hull contains an enormous energy weapon and other advanced systems, including an exotic garden of crystal life. Some missing or broken modules were replaced with temporary DIY tech, but many improvements are still needed.	400		'66885230:dlc2/The Exception.prefab
